replica,cpu,heap,previous_tps,instant_tps,reward
1,8,1,49.6,49.53,1.16404
1,8,1,49.53,49.53,1.16404
1,8,1,49.53,49.8,1.1688999999999998
1,8,1,49.8,50.0,1.1738125
1,8,1,50.0,49.0,1.1558125
1,8,1,49.0,49.6,1.1666124999999998
1,8,1,49.6,49.88,1.1700975
1,8,1,49.88,50.06,1.1736975
1,8,1,50.06,49.8,1.1693375
1,8,1,49.8,49.66,1.1669975
1,8,1,49.66,50.0,1.173875
1,8,1,50.0,50.0,1.173875
1,8,1,50.0,49.8,1.170275
1,8,1,49.8,49.53,1.165415
1,8,1,49.53,49.88,1.170535
1,8,1,49.88,50.7,1.185975
1,8,1,50.7,49.53,1.164915
1,8,1,49.53,49.72,1.168515
1,8,1,49.72,49.88,1.17166
1,8,1,49.88,50.72,1.18664
1,8,1,50.72,49.94,1.17224
1,8,1,49.94,49.66,1.16756
1,8,1,49.66,49.94,1.171615
1,8,1,49.94,49.88,1.170535
1,8,1,49.88,50.0,1.172875
1,8,1,50.0,50.12,1.1762075
1,8,1,50.12,49.8,1.1700875
1,8,1,49.8,49.34,1.1616275
1,8,1,49.34,49.72,1.16889
1,8,1,49.72,49.94,1.17649
1,8,1,49.94,49.53,1.16929
1,8,1,49.53,49.47,1.1682099999999995
1,8,1,49.47,49.8,1.1742125
1,8,1,49.8,49.72,1.1729525
1,8,1,49.72,49.8,1.1742125
1,8,1,49.8,49.34,1.1657525
1,8,1,49.34,50.38,1.1849725000000002
1,8,1,50.38,49.47,1.1687724999999998
1,8,1,49.47,49.47,1.1687724999999998
1,8,1,49.47,49.66,1.1727474999999998
1,8,1,49.66,49.94,1.1769275
1,8,1,49.94,49.8,1.1745875
1,8,1,49.8,49.34,1.1661275
1,8,1,49.34,49.94,1.1765525
1,8,1,49.94,49.66,1.1723724999999998
1,8,1,49.66,49.8,1.1747125
1,8,1,49.8,49.6,1.1711125
1,8,1,49.6,49.53,1.1698525
1,8,1,49.53,49.72,1.1734525
1,8,1,49.72,49.94,1.1770525
1,8,1,49.94,49.6,1.1711125
1,8,1,49.6,49.72,1.173265
1,8,1,49.72,49.8,1.174025
1,8,1,49.8,50.0,1.177625
1,8,1,50.0,49.72,1.172765
1,8,1,49.72,49.8,1.174025
1,8,1,49.8,49.72,1.173265
1,8,1,49.72,49.66,1.1721849999999998
1,8,1,49.66,49.66,1.1721849999999998
1,8,1,49.66,50.34,1.183925
1,8,1,50.34,49.66,1.171685
1,8,1,49.66,49.72,1.172765
1,8,1,49.72,48.94,1.1581775
1,8,1,48.94,49.34,1.1658775
1,8,1,49.34,50.2,1.1815375
1,8,1,50.2,49.94,1.1766775
1,8,1,49.94,49.53,1.169915
1,8,1,49.53,46.66,1.129935
1,8,1,46.66,49.8,1.186275
1,8,1,49.8,49.28,1.176735
1,8,1,49.28,50.0,1.190875
1,8,1,50.0,49.6,1.176675
1,8,1,49.6,49.6,1.176675
1,9,1,49.6,46.56,1.102982222222222
1,9,1,49.6,46.56,-1.0
1,9,1,49.6,46.56,-1.0
1,9,1,49.6,46.56,-1.0
1,9,1,49.6,46.56,-1.0
1,9,1,49.6,46.56,-1.0
1,9,1,49.6,46.56,-1.0
1,9,1,49.6,46.56,-1.0
2,9,1,46.56,49.22,1.1569466666666666
2,9,1,49.22,48.16,1.1442266666666665
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,49.22,48.16,-1.0
2,9,1,48.16,49.66,1.1712266666666666
2,9,1,49.66,49.06,1.1508155555555557
2,9,1,49.06,48.56,1.1566355555555554
2,9,1,48.56,48.66,1.1586155555555555
2,9,1,48.66,48.66,1.1562822222222222
2,9,1,48.66,50.03,1.194762222222222
2,9,1,50.03,49.0,1.176222222222222
2,9,1,49.0,49.6,1.1851888888888888
2,9,1,49.6,49.94,1.191128888888889
2,9,1,49.94,48.47,1.1698488888888887
3,9,1,48.47,48.9,1.1514777777777776
3,9,1,48.9,50.16,1.1798377777777778
3,9,1,50.16,48.28,1.1456377777777778
3,9,1,48.28,49.47,1.164571111111111
3,9,1,49.47,49.8,1.170511111111111
3,9,1,49.8,48.8,1.1595111111111112
3,9,1,48.8,49.34,1.169051111111111
3,9,1,49.34,48.66,1.156337777777778
3,9,1,48.66,50.66,1.198837777777778
3,9,1,50.66,50.06,1.1880377777777775
3,9,1,50.06,49.72,1.1806955555555556
3,9,1,49.72,50.72,1.2005155555555556
3,9,1,50.72,49.6,1.1803555555555556
3,9,1,49.6,51.88,1.220048888888889
3,9,1,51.88,50.12,1.1909088888888888
3,9,1,50.12,49.8,1.184788888888889
3,9,1,49.8,49.72,1.18364
3,9,1,49.72,50.7,1.2016
3,9,1,50.7,50.06,1.19026
3,9,1,50.06,49.94,1.1878511111111112
3,9,1,49.94,49.8,1.185511111111111
3,9,1,49.8,49.66,1.184171111111111
3,9,1,49.66,50.28,1.1949711111111112
3,9,1,50.28,49.8,1.1858444444444445
3,9,1,49.8,50.25,1.1942644444444444
3,9,1,50.25,50.0,1.1899444444444445
3,9,1,50.0,49.72,1.1850844444444444
3,9,1,49.72,49.72,1.1853622222222222
3,9,1,49.72,50.56,1.2009822222222222
3,9,1,50.56,49.94,1.1894622222222222
3,9,1,49.94,50.06,1.1915933333333333
3,9,1,50.06,50.38,1.1984933333333334
3,9,1,50.38,49.34,1.1797733333333331
3,9,1,49.34,50.0,1.1918333333333333
3,9,1,50.0,51.4,1.2169222222222222
3,9,1,51.4,50.3,1.197482222222222
3,9,1,50.3,50.2,1.1953222222222222
3,9,1,50.2,49.4,1.180811111111111
3,9,1,49.4,49.2,1.179351111111111
3,9,1,49.2,49.94,1.192851111111111
3,9,1,49.94,49.66,1.188171111111111
3,9,1,49.66,50.2,1.1977666666666666
3,9,1,50.2,49.72,1.1881266666666666
3,9,1,49.72,49.8,1.1895666666666664
3,9,1,49.8,50.12,1.195562222222222
3,9,1,50.12,50.66,1.2062822222222225
3,9,1,50.66,50.12,1.196562222222222
3,9,1,50.12,49.47,1.184571111111111
3,9,1,49.47,50.56,1.2045111111111109
3,9,1,50.56,49.72,1.189751111111111
3,9,1,49.72,49.8,1.1911777777777777
3,9,1,49.8,50.16,1.1976577777777777
3,9,1,50.16,50.12,1.1976177777777777
3,9,1,50.12,49.94,1.1940177777777778
3,9,1,49.94,49.88,1.192771111111111
3,9,1,49.88,52.3,1.2365111111111111
3,9,1,52.3,49.72,1.1902511111111111
3,9,1,49.72,50.12,1.1973399999999998
3,9,1,50.12,50.66,1.20688
3,9,1,50.66,49.66,1.18906
3,9,1,49.66,49.72,1.19014
3,9,1,49.72,51.12,1.21498
3,9,1,51.12,49.6,1.1878
3,9,1,49.6,49.94,1.19374
3,9,1,49.94,50.4,1.20288
3,9,1,50.4,49.6,1.1883
3,9,1,49.6,50.0,1.1955555555555557
3,9,1,50.0,50.9,1.2117555555555557
3,9,1,50.9,49.8,1.1919555555555554
3,9,1,49.8,49.8,1.1918444444444445
3,9,1,49.8,50.47,1.2040844444444443
3,9,1,50.47,49.94,1.1941844444444445
3,9,1,49.94,50.34,1.2013844444444444
3,9,1,50.34,50.62,1.2062577777777777
3,9,1,50.62,50.06,1.1965377777777777
3,9,1,50.06,49.72,1.1905288888888887
3,9,1,49.72,50.7,1.2078088888888887
3,9,1,50.7,49.88,1.1930488888888888
3,9,1,49.88,49.6,1.188188888888889
3,9,1,49.6,50.66,1.207268888888889
3,9,1,50.66,50.06,1.1966488888888889
3,9,1,50.06,49.4,1.184588888888889
3,9,1,49.4,50.78,1.2099288888888888
3,9,1,50.78,50.28,1.2007488888888889
3,9,1,50.28,51.6,1.224688888888889
3,9,1,51.6,51.16,1.2169488888888889
3,9,1,51.16,50.2,1.1994888888888888
3,9,1,50.2,49.66,1.189782222222222
3,9,1,49.66,50.78,1.2097622222222222
3,9,1,50.78,50.12,1.198062222222222
3,9,1,50.12,49.94,1.1946844444444444
3,9,1,49.94,50.6,1.2065644444444446
3,9,1,50.6,50.4,1.2031444444444443
3,9,1,50.4,49.8,1.1921777777777778
3,9,1,49.8,50.4,1.2031577777777778
3,9,1,50.4,49.94,1.1945177777777778
3,9,1,49.94,49.88,1.19366
3,9,1,49.88,50.06,1.1969
3,9,1,50.06,49.4,1.1856999999999998
3,9,1,49.4,49.66,1.1905599999999998
3,9,1,49.66,50.34,1.2024399999999995
3,9,1,50.34,49.66,1.1905599999999998
3,9,1,49.66,50.66,1.20856
3,9,1,50.66,49.8,1.1928999999999998
3,9,1,49.8,50.06,1.1975377777777778
3,9,1,50.06,50.06,1.1973577777777775
3,9,1,50.06,49.66,1.1903377777777775
3,9,1,49.66,49.88,1.1939377777777778
3,9,1,49.88,49.88,1.193882222222222
3,9,1,49.88,50.16,1.1991022222222223
3,9,1,50.16,49.53,1.1877622222222222
3,9,1,49.53,50.06,1.1975933333333333
3,9,1,50.06,50.25,1.2010133333333337
3,9,1,50.25,50.34,1.2022733333333333
3,9,1,50.34,49.8,1.1927333333333332
3,9,1,49.8,49.88,1.1939377777777778
3,9,1,49.88,49.75,1.1924577777777778
3,9,1,49.75,50.12,1.1991177777777775
3,9,1,50.12,49.6,1.1895777777777776
3,9,1,49.6,51.16,1.2176999999999998
3,9,1,51.16,50.06,1.19826
3,9,1,50.06,49.6,1.1899111111111111
3,9,1,49.6,50.12,1.199271111111111
3,9,1,50.12,49.6,1.1899111111111111
3,9,1,49.6,50.4,1.204311111111111
3,9,1,50.4,51.4,1.2226155555555556
3,9,1,51.4,49.94,1.1957955555555555
3,9,1,49.94,50.34,1.2027177777777776
3,9,1,50.34,50.62,1.2082977777777777
3,9,1,50.62,50.06,1.1985377777777777
3,9,1,50.06,50.0,1.1972777777777777
3,9,1,50.0,50.62,1.2085355555555557
3,9,1,50.62,49.94,1.1962955555555554
3,9,1,49.94,49.53,1.188651111111111
3,9,1,49.53,51.12,1.217631111111111
3,9,1,51.12,49.8,1.193511111111111
3,9,1,49.8,51.0,1.2152777777777777
3,9,1,51.0,49.88,1.1949377777777777
3,9,1,49.88,49.4,1.1864777777777775
3,9,1,49.4,50.06,1.1984822222222222
3,9,1,50.06,50.16,1.2001022222222222
3,9,1,50.16,50.2,1.2008222222222222
3,9,1,50.2,49.53,1.18904
3,9,1,49.53,50.44,1.20524
3,9,1,50.44,50.06,1.19926
3,9,1,50.06,49.94,1.19674
3,9,1,49.94,50.34,1.2043288888888888
3,9,1,50.34,50.22,1.2021688888888888
3,9,1,50.22,49.72,1.1935288888888889
3,9,1,49.72,49.72,1.193028888888889
3,9,1,49.72,50.97,1.2153488888888888
3,9,1,50.97,49.94,1.196628888888889
3,9,1,49.94,49.6,1.1908
3,9,1,49.6,50.2,1.2016
3,9,1,50.2,50.12,1.2003399999999995
3,9,1,50.12,49.88,1.19566
3,9,1,49.88,49.6,1.190688888888889
3,9,1,49.6,50.75,1.2117088888888887
3,9,1,50.75,49.94,1.197128888888889
3,9,1,49.94,49.88,1.1957711111111111
3,9,1,49.88,51.22,1.2200711111111109
3,9,1,51.22,49.6,1.190911111111111
3,9,1,49.6,49.88,1.195882222222222
3,9,1,49.88,50.25,1.2029022222222223
3,9,1,50.25,49.94,1.1969622222222225
3,9,1,49.94,50.28,1.2030822222222222
3,9,1,50.28,50.9,1.2147555555555556
3,9,1,50.9,49.88,1.1962155555555554
