replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance_request,performance_response,performance
3,6,4,64,88,0.245,0.7636666666666666,0.861714172604909,87.66932238465603,21.05,88.13,0,88,1708171795.8446014,0.4083333333333333,1.0,0.9501187648456056,0.9750593824228029
1,8,6,88,72,0.437,0.748,0.8046709748892172,88.62394738465602,27.08,72.13,0,72,1708172411.115786,0.54625,1.0,0.7385524372230429,0.8692762186115215
2,4,5,72,73,0.303,0.8105,0.8393733357322778,89.59969738465603,27.79,73.2,0,72,1708173026.3412943,0.7575,1.0,0.7196833393306945,0.8598416696653473
3,6,8,73,96,0.2823333333333333,0.7799999999999999,0.820641723356009,90.54425294021158,24.5,96.4,0,96,1708173641.5599916,0.47055555555555556,1.0,0.8163265306122449,0.9081632653061225
3,5,8,96,88,0.2663333333333333,0.8203333333333332,0.763437636480411,91.49751960687824,31.14,88.53,0,88,1708174256.861629,0.5326666666666666,1.0,0.6422607578676943,0.8211303789338471
2,9,7,88,96,0.334,0.7565,0.8742222222222222,0.0,17.18,96.93,0,96,1708174872.1101282,0.3711111111111111,1.0,1.0,1.0
2,6,8,96,97,0.3135,0.7805,0.8919092009685231,1.7498125,20.65,97.27,0,96,1708176102.6106038,0.5225000000000001,1.0,0.9685230024213076,0.9842615012106538
3,8,6,97,88,0.2253333333333333,0.7173333333333334,0.8563333333333334,2.677979166666667,17.62,88.0,0,88,1708176717.8987188,0.2816666666666666,1.0,1.0,1.0
1,7,7,88,100,0.564,0.746,0.6920638149903908,3.6333969952380953,55.75,100.73,0,104,1708177333.1254902,0.8057142857142857,0.968558,0.35874439461883406,0.663651197309417
1,6,9,100,93,0.598,0.822,0.4560865004106504,4.267253795238095,226.47,93.0,0,168,1708177948.3921068,0.9966666666666667,0.553571,0.0883119176932927,0.3209414588466464
1,5,7,93,74,0.499,0.781,0.4384968821214004,4.878553795238095,241.35,74.07,0,144,1708178563.6738646,0.998,0.514375,0.08286720530350114,0.29862110265175057
1,9,6,74,152,0.896,0.755,0.7644345250396087,5.87810935079365,48.39,152.33,0,152,1708179178.8742402,0.9955555555555555,1.0,0.4133085348212441,0.706654267410622
1,5,9,152,90,0.496,0.869,0.48889363704223937,6.574587306349206,199.34,90.13,0,144,1708179794.2449348,0.992,0.625903,0.10033109260559847,0.36311704630279923
3,7,8,90,104,0.276,0.8000000000000002,0.8788571428571429,7.514015877777777,19.59,104.73,0,104,1708180409.490641,0.39428571428571435,1.0,1.0,1.0
