replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance
2,4,8,0,24,0.144,0.9005000000000001,0.3563870029378933,0.936,36.71,24.4,0,24,1707940534.0354278,0.35999999999999993,0.3554837536723667
3,6,4,24,24,0.095,0.7563333333333334,0.6159464678821351,1.8518333333333328,18.28,24.0,0,24,1707941149.2891726,0.15833333333333335,0.7303497515193356
2,5,4,24,32,0.1445,0.7275,0.5545138504537422,2.780733333333333,21.42,32.13,0,32,1707941764.5123403,0.289,0.6208923130671777
1,6,6,32,32,0.247,0.66,0.7634490680880297,3.7219,15.73,32.2,0,32,1707942379.7318747,0.4116666666666667,0.8513946684433704
3,7,5,32,40,0.14,0.6836666666666668,0.6621568128315138,4.641900000000001,17.19,40.33,0,40,1707942994.9349527,0.20000000000000004,0.7776960160393922
2,8,4,40,32,0.143,0.7284999999999999,0.5561223704710448,5.559775,20.47,32.0,0,32,1707943610.181557,0.17874999999999996,0.6504654630888062
2,8,6,32,32,0.1365,0.743,0.6959341013100251,6.4768375,16.18,32.27,0,32,1707944225.3962731,0.170625,0.8272613766375314
3,9,8,32,24,0.1056666666666666,0.7066666666666667,0.6786822684907384,7.376911574074074,16.34,24.2,0,24,1707944840.636682,0.11740740740740734,0.8190009837615712
1,6,5,24,40,0.254,0.722,0.7540681015788088,8.319244907407407,16.0,40.0,0,40,1707945455.8519433,0.42333333333333334,0.8367517936401776
2,8,5,40,40,0.153,0.702,0.6853701850302343,9.238369907407408,16.54,40.27,0,40,1707946071.0598,0.19124999999999998,0.8089002312877928
2,9,4,40,40,0.154,0.7025,0.6738447871376705,10.155481018518518,16.73,40.33,0,40,1707946686.2772105,0.1711111111111111,0.7995282061443102
2,7,7,40,40,0.1485,0.756,0.6754856401625324,11.076695304232803,16.9,40.0,0,40,1707947301.5045545,0.21214285714285713,0.7913213359174512
1,5,9,40,47,0.303,0.826,0.5405889797832462,12.029073082010582,25.25,47.93,0,48,1707947916.711278,0.606,0.5242362247290577
2,8,5,47,40,0.16,0.724,0.6907321404315567,12.949073082010582,16.45,40.0,0,40,1707948531.9285927,0.19999999999999998,0.8134151755394459
2,7,8,40,32,0.147,0.8180000000000001,0.5871897530930051,13.87007308201058,19.56,32.0,0,32,1707949147.1634448,0.21,0.6814871913662564
1,9,6,32,24,0.142,0.694,0.7885514125730491,14.78585085978836,14.18,24.07,0,24,1707949762.3778603,0.15777777777777777,0.9462448212718668
1,6,5,24,56,0.329,0.675,0.5290556464499129,15.740684193121693,25.25,56.0,0,56,1707950377.5854723,0.5483333333333333,0.5242362247290577
2,5,7,56,48,0.1755,0.7995,0.5573394424228232,16.675784193121693,21.83,48.47,0,48,1707950992.811139,0.351,0.608924303028529
2,5,7,48,40,0.1435,0.804,0.6530007171171559,17.604484193121692,17.94,40.67,0,40,1707951608.0260377,0.287,0.7445008963964449
2,4,6,40,40,0.18,0.761,0.5380609706197959,18.54948419312169,23.68,40.2,0,40,1707952223.2556782,0.44999999999999996,0.5600762132747449
3,8,8,40,40,0.1286666666666666,0.794,0.6391733852344256,19.464817526455025,17.61,40.13,0,40,1707952838.455088,0.16083333333333324,0.7587583982096986
3,4,8,40,32,0.121,0.806,0.46693031279813074,20.395067526455023,26.03,32.0,0,32,1707953453.687216,0.3025,0.5080378909976634
1,5,7,32,32,0.198,0.721,0.656057364505019,21.334667526455025,18.51,32.13,0,32,1707954083.3232048,0.396,0.7210717056312737
