replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance
3,5,7,104,80,0.2243333333333333,0.8119999999999999,0.8897333333333334,36.23953802910053,18.0,80.0,0,80,1708211038.542099,0.4486666666666666,1.0
1,5,5,80,83,0.495,0.819,0.2027801147227533,37.23853802910053,167.36,83.93,0,112,1708211653.9934988,0.99,0.0059751434034416824
1,6,6,83,96,0.514,0.793,0.2036304669627237,38.2242046957672,24.77,96.73,0,96,1708212269.201277,0.8566666666666667,0.04037141703673799
1,5,4,96,87,0.502,0.82,0.2063171193935565,39.2242046957672,126.64,87.93,0,96,1708212884.4254377,1.0,0.007896399241945672
2,7,6,87,96,0.323,0.7795000000000001,0.8922857142857143,40.17034755291006,16.75,96.73,0,96,1708213499.658224,0.46142857142857147,1.0
2,7,7,96,96,0.287,0.7615000000000001,0.882,41.11134755291006,14.37,96.27,0,96,1708214114.9159524,0.41,1.0
1,9,8,96,80,0.456,0.736,0.9013333333333333,42.05401421957673,17.12,80.13,0,80,1708214730.1337943,0.5066666666666667,1.0
2,6,4,80,72,0.2815,0.6975,0.8938333333333334,43.0009308862434,17.55,72.27,0,72,1708215345.3852234,0.4691666666666666,1.0
2,6,7,72,104,0.334,0.7975,0.14199642263958093,43.95659755291006,26.09,104.6,0,104,1708215960.6232872,0.5566666666666668,0.038328861632809505
2,7,6,104,103,0.3275,0.759,0.8935714285714286,44.90338326719578,16.1,103.87,0,104,1708216575.8404365,0.4678571428571429,1.0
1,8,4,103,104,0.513,0.717,0.92825,45.86750826719578,14.77,104.4,0,104,1708217191.0886662,0.64125,1.0
3,8,8,104,105,0.241,0.7726666666666665,0.8602500000000001,46.79421660052911,16.11,105.0,0,104,1708217806.3215084,0.30124999999999996,1.0
3,6,8,105,96,0.2443333333333333,0.7866666666666666,0.8814444444444445,47.73327215608467,19.48,96.2,0,96,1708218421.58648,0.40722222222222215,1.0
1,9,4,96,80,0.437,0.663,0.8971111111111111,48.681827711640224,15.48,80.07,0,80,1708219036.8303466,0.4855555555555555,1.0
2,7,8,80,72,0.221,0.729,0.8631428571428572,49.60452414021165,16.73,72.27,0,72,1708219652.0398045,0.3157142857142857,1.0
1,9,8,72,24,0.195,0.683,0.8433333333333334,50.51156580687832,16.02,24.0,0,24,1708220267.2625766,0.21666666666666667,1.0
2,5,6,24,24,0.12,0.767,0.8480000000000001,51.43556580687832,19.05,24.0,0,24,1708220882.4587967,0.24,1.0
2,8,8,24,32,0.1605,0.718,0.840125,52.34537830687832,15.61,32.07,0,32,1708221497.66985,0.200625,1.0
1,7,5,32,32,0.213,0.689,0.8608571428571429,53.27580687830689,15.45,32.0,0,32,1708222112.913412,0.30428571428571427,1.0
2,7,8,32,40,0.1525,0.731,0.8435714285714286,54.18896759259261,15.92,40.13,0,40,1708222728.117236,0.21785714285714286,1.0
3,6,4,40,32,0.1156666666666666,0.7496666666666667,0.8385555555555556,55.10824537037038,17.37,32.0,0,32,1708223343.335606,0.19277777777777766,1.0
3,7,6,32,32,0.1093333333333333,0.7093333333333334,0.8312380952380952,56.02386441798943,16.0,32.0,0,32,1708223958.5552545,0.15619047619047616,1.0
3,9,7,32,24,0.1036666666666666,0.7063333333333333,0.823037037037037,56.93538293650795,16.34,24.0,0,24,1708224573.7716951,0.11518518518518511,1.0
2,7,4,24,40,0.1674999999999999,0.7195,0.8478571428571429,57.85931150793652,15.5,40.2,0,40,1708225188.994087,0.23928571428571416,1.0
3,7,8,40,40,0.1423333333333333,0.7336666666666667,0.8406666666666667,58.77135317460319,15.19,40.13,0,40,1708225804.2178347,0.2033333333333333,1.0
1,5,8,40,40,0.279,0.77,0.13711020408163266,59.72340317460319,31.36,40.07,0,40,1708226419.4447262,0.558,0.03188775510204082
3,4,4,40,40,0.1816666666666666,0.7793333333333333,0.12260458035477886,60.66881984126985,25.18,40.27,0,40,1708227034.6521409,0.45416666666666644,0.03971405877680699
2,5,5,40,48,0.1965,0.839,0.8786,61.608119841269854,15.75,48.0,0,48,1708227699.2447736,0.393,1.0
3,5,4,48,39,0.146,0.7386666666666667,0.8584,62.537319841269856,18.36,39.8,0,40,1708228314.4575157,0.292,1.0
3,9,9,39,32,0.1086666666666666,0.7323333333333334,0.8241481481481482,63.430764285714304,16.71,32.13,0,32,1708228929.6830652,0.12074074074074068,1.0
3,5,9,32,24,0.1053333333333333,0.778,0.8421333333333334,64.33827539682541,17.18,24.07,0,24,1708229544.9111826,0.2106666666666666,1.0
1,6,8,24,56,0.34,0.717,0.1518504252928904,65.28456706349208,20.77,56.6,0,56,1708230160.1276371,0.5666666666666668,0.04814636494944632
2,5,6,56,48,0.2319999999999999,0.744,0.8928,66.23096706349207,18.9,48.33,0,48,1708230775.3432992,0.4639999999999998,1.0
2,5,6,48,40,0.1695,0.7490000000000001,0.8678,67.16486706349207,17.1,40.0,0,40,1708231390.590045,0.339,1.0
1,5,9,40,40,0.229,0.797,0.12183431594860165,68.09922261904762,26.46,40.27,0,40,1708232005.7860346,0.458,0.03779289493575208
1,7,5,40,40,0.263,0.709,0.8751428571428572,69.03679404761905,16.72,40.07,0,40,1708232621.007968,0.3757142857142858,1.0
2,4,6,40,32,0.168,0.7885,0.1180715502555366,69.97879404761905,23.48,32.0,0,32,1708233236.2204788,0.42,0.04258943781942078
1,9,6,32,32,0.231,0.697,0.8513333333333334,70.90446071428572,15.82,32.53,0,32,1708233851.405897,0.25666666666666665,1.0
3,4,6,32,40,0.161,0.7913333333333333,0.10889900603478876,71.84471071428572,28.17,40.07,0,40,1708234466.6420326,0.40249999999999997,0.03549875754348598
3,5,7,40,40,0.143,0.8383333333333334,0.8572000000000001,72.77331071428573,17.58,40.07,0,40,1708235127.0996337,0.286,1.0
3,6,6,40,40,0.1403333333333333,0.7709999999999999,0.8467777777777779,73.69669960317462,18.51,40.4,0,40,1708235742.3121226,0.23388888888888887,1.0
3,7,4,40,40,0.129,0.6896666666666667,0.8368571428571429,74.6151281746032,16.35,40.0,0,40,1708236357.5656393,0.1842857142857143,1.0
2,4,8,40,40,0.1755,0.8895,0.12637868179623368,75.5590031746032,20.71,40.13,0,40,1708236972.8092003,0.43875,0.048285852245292124
1,5,5,40,32,0.235,0.743,0.894,76.50600317460321,19.69,32.27,0,32,1708237588.0104938,0.47,1.0
2,8,4,32,32,0.1285,0.6735,0.832125,77.4220656746032,14.67,32.33,0,32,1708238203.211009,0.160625,1.0
1,9,4,32,64,0.335,0.727,0.8744444444444445,78.35928789682542,15.8,64.0,0,64,1708238818.4493978,0.37222222222222223,1.0
3,6,5,64,48,0.1556666666666666,0.7346666666666667,0.8518888888888889,79.28523234126986,18.86,48.13,0,48,1708239433.6508057,0.2594444444444443,1.0
2,5,4,48,40,0.1885,0.7665,0.10376879432624111,80.22293234126987,28.2,40.0,0,40,1708240048.8801055,0.377,0.03546099290780142
3,5,4,40,47,0.151,0.7523333333333332,0.09833266951161687,81.15313234126987,21.09,47.87,0,48,1708240664.0998096,0.302,0.0474158368895211
1,4,5,47,47,0.27,0.815,0.14880262249827464,82.12063234126987,57.96,47.07,0,48,1708241279.3094084,0.675,0.01725327812284334
3,7,5,47,56,0.167,0.7436666666666666,0.8477142857142858,83.04448948412701,17.53,56.0,0,56,1708241894.5155745,0.2385714285714286,1.0
2,4,6,56,73,0.292,0.7905,0.17000240024002394,84.01748948412701,33.33,73.33,0,72,1708242509.7536922,0.7299999999999999,0.030003000300030006
2,6,6,73,64,0.221,0.7685,0.8736666666666667,84.95432281746035,16.35,64.07,0,64,1708243125.0162368,0.36833333333333335,1.0
1,7,8,64,72,0.399,0.841,0.914,85.91132281746034,15.73,72.33,0,72,1708243740.2374334,0.5700000000000001,1.0
3,9,4,72,88,0.217,0.723,0.8482222222222222,86.83543392857146,15.93,88.67,0,88,1708244355.4486043,0.2411111111111111,1.0
1,7,7,88,56,0.345,0.749,0.8985714285714286,87.78471964285717,18.07,56.0,0,56,1708244970.709764,0.4928571428571428,1.0
3,4,8,56,48,0.197,0.8513333333333334,0.129340400925212,88.73396964285718,25.94,48.07,0,48,1708245585.9132802,0.4925,0.03855050115651503
1,6,6,48,56,0.357,0.679,0.14551640702684782,89.69346964285718,30.17,56.0,0,56,1708246236.1100354,0.595,0.033145508783559825
3,7,9,56,64,0.1786666666666666,0.7936666666666666,0.851047619047619,90.60717863756618,17.44,64.6,0,64,1708246851.3120124,0.25523809523809515,1.0
2,8,6,64,72,0.2269999999999999,0.826,0.85675,91.53555363756618,15.48,72.13,0,72,1708247466.5599437,0.28374999999999984,1.0
1,4,5,72,53,0.4,0.759,0.20353372498785277,92.53555363756618,226.39,53.2,0,96,1708248081.778006,1.0,0.004417156234816025
2,5,9,53,96,0.3239999999999999,0.8755,0.15088791910590735,93.49763141534396,37.58,96.13,0,96,1708248697.0336232,0.6479999999999998,0.02660989888238425
2,9,7,96,120,0.0,0.0,0.8,0.0,19.26,120.2,0,120,1708249312.2530918,0.0,1.0
3,6,9,120,72,0.2136666666666666,0.7383333333333333,0.8712222222222222,0.9176481481481482,18.23,72.13,0,72,1708249927.5048578,0.356111111111111,1.0
3,4,6,72,87,0.2843333333333333,0.774,0.15179014796102486,1.8887314814814813,83.13,87.47,0,88,1708250542.766632,0.7108333333333333,0.012029351617947793
2,8,5,87,72,0.224,0.74,0.856,2.8167314814814817,14.72,72.0,0,72,1708251193.002911,0.27999999999999997,1.0
2,4,7,72,78,0.301,0.8145,0.16156347669755217,3.7919814814814816,72.31,78.47,0,80,1708251808.2163138,0.7525,0.013829345871940256
2,4,4,78,62,0.221,0.76,0.1278988690735102,4.7472314814814816,45.98,62.6,0,64,1708252423.668449,0.5525,0.02174858634188778
2,5,6,62,64,0.231,0.7755,0.8924000000000001,5.693431481481482,18.34,64.4,0,64,1708253038.8688908,0.462,1.0
3,7,8,64,72,0.2,0.785,0.8571428571428572,6.620127910052911,15.25,72.27,0,72,1708253654.3336742,0.28571428571428575,1.0
1,8,9,72,72,0.396,0.725,0.13579852805887763,7.550183465608466,21.74,72.6,0,72,1708254269.5901904,0.495,0.04599816007359706
2,7,7,72,72,0.233,0.7695000000000001,0.8665714285714287,8.48346917989418,15.1,72.2,0,72,1708254884.7981868,0.3328571428571429,1.0
1,7,9,72,79,0.471,0.855,0.17220077946512563,9.445754894179895,21.26,79.93,0,80,1708255500.0375853,0.6728571428571428,0.047036688617121354
3,9,8,79,88,0.2236666666666666,0.7576666666666667,0.8497037037037037,10.36531507936508,16.01,88.0,0,88,1708256115.271981,0.24851851851851844,1.0
3,9,5,88,56,0.1596666666666666,0.691,0.8354814814814815,11.28305582010582,16.24,56.13,0,56,1708256730.5224934,0.17740740740740732,1.0
2,7,7,56,56,0.204,0.748,0.8582857142857143,12.212198677248676,17.79,56.0,0,56,1708257345.7654846,0.2914285714285714,1.0
1,7,6,56,110,0.678,0.737,0.20713710450623202,13.20905582010582,59.6,110.47,0,112,1708257961.018571,0.9685714285714287,0.016778523489932886
2,4,6,110,90,0.365,0.804,0.19017754318618038,14.200305820105822,104.2,90.13,0,96,1708258576.2770472,0.9125,0.009596928982725527
3,8,8,90,104,0.255,0.7923333333333332,0.86375,15.131222486772488,16.33,104.87,0,104,1708259191.506998,0.31875,1.0
