replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance
3,6,9,120,72,0.2136666666666666,0.7383333333333333,0.7424444444444444,0.9176481481481482,18.23,72.13,0,72,1708249927.5048578,0.356111111111111,1.0
3,4,6,72,87,0.2843333333333333,0.774,0.8807195333333333,1.8887314814814813,83.13,87.47,0,88,1708250542.766632,0.7108333333333333,0.993977
2,8,5,87,72,0.224,0.74,0.712,2.8167314814814817,14.72,72.0,0,72,1708251193.002911,0.27999999999999997,1.0
2,4,7,72,78,0.301,0.8145,0.8895249999999999,3.7919814814814816,72.31,78.47,0,80,1708251808.2163138,0.7525,0.980875
2,4,4,78,62,0.221,0.76,0.807875,4.7472314814814816,45.98,62.6,0,64,1708252423.668449,0.5525,0.978125
2,5,6,62,64,0.231,0.7755,0.7847999999999999,5.693431481481482,18.34,64.4,0,64,1708253038.8688908,0.462,1.0
3,7,8,64,72,0.2,0.785,0.7142857142857143,6.620127910052911,15.25,72.27,0,72,1708253654.3336742,0.28571428571428575,1.0
1,8,9,72,72,0.396,0.725,0.798,7.550183465608466,21.74,72.6,0,72,1708254269.5901904,0.495,1.0
2,7,7,72,72,0.233,0.7695000000000001,0.7331428571428571,8.48346917989418,15.1,72.2,0,72,1708254884.7981868,0.3328571428571429,1.0
1,7,9,72,79,0.471,0.855,0.8686178571428571,9.445754894179895,21.26,79.93,0,80,1708255500.0375853,0.6728571428571428,0.999125
3,9,8,79,88,0.2236666666666666,0.7576666666666667,0.6994074074074074,10.36531507936508,16.01,88.0,0,88,1708256115.271981,0.24851851851851844,1.0
3,9,5,88,56,0.1596666666666666,0.691,0.6709629629629629,11.28305582010582,16.24,56.13,0,56,1708256730.5224934,0.17740740740740732,1.0
2,7,7,56,56,0.204,0.748,0.7165714285714285,12.212198677248676,17.79,56.0,0,56,1708257345.7654846,0.2914285714285714,1.0
1,7,6,56,110,0.678,0.737,0.9792319714285715,13.20905582010582,59.6,110.47,0,112,1708257961.018571,0.9685714285714287,0.986339
2,4,6,110,90,0.365,0.804,0.9283123999999999,14.200305820105822,104.2,90.13,0,96,1708258576.2770472,0.9125,0.938854
3,8,8,90,104,0.255,0.7923333333333332,0.7275,15.131222486772488,16.33,104.87,0,104,1708259191.506998,0.31875,1.0
2,9,9,104,112,0.372,0.767,0.7653333333333333,16.057778042328042,18.53,112.27,0,112,1708259806.7767177,0.41333333333333333,1.0
2,9,8,112,144,0.442,0.756,0.7964444444444444,17.001389153439153,18.08,144.87,0,144,1708260422.0106864,0.4911111111111111,1.0
3,9,8,144,88,0.2029999999999999,0.7673333333333333,0.6902222222222222,17.919861375661373,16.48,88.2,0,88,1708261037.2645836,0.22555555555555545,1.0
3,9,6,88,64,0.181,0.6723333333333334,0.6804444444444444,18.839972486772485,15.81,64.47,0,64,1708261652.5133424,0.2011111111111111,1.0
3,8,4,64,88,0.2393333333333333,0.7026666666666666,0.7196666666666667,19.769889153439152,16.1,88.6,0,88,1708262267.768667,0.2991666666666666,1.0
1,9,4,88,72,0.422,0.66,0.7875555555555556,20.71677804232804,16.52,72.4,0,72,1708262883.0128417,0.46888888888888886,1.0
2,9,6,72,72,0.2375,0.7355,0.7055555555555555,21.64316693121693,15.5,72.2,0,72,1708263498.221407,0.2638888888888889,1.0
2,8,9,72,95,0.2845,0.7330000000000001,0.7389374,22.560173875661377,16.24,95.47,0,96,1708264113.437605,0.35562499999999997,0.994479
3,6,5,95,88,0.2056666666666666,0.7436666666666666,0.737111111111111,23.49445165343916,17.8,88.2,0,88,1708264728.678795,0.3427777777777777,1.0
1,7,7,88,96,0.548,0.817,0.9131428571428571,24.472737367724868,24.32,96.47,0,96,1708265343.9573135,0.7828571428571429,1.0
3,8,5,96,96,0.2186666666666666,0.7093333333333334,0.7093333333333333,25.4000707010582,16.77,96.2,0,96,1708265959.1883323,0.2733333333333332,1.0
2,4,4,96,95,0.3425,0.7825,0.9395624,26.3856957010582,63.11,95.53,0,96,1708266574.4296238,0.8562500000000001,0.995104
3,7,9,95,88,0.1976666666666666,0.7893333333333334,0.7129523809523809,27.3016375,16.05,88.4,0,88,1708267189.6491137,0.2823809523809523,1.0
1,7,5,88,104,0.576,0.68,0.9291428571428572,28.28392321428572,24.84,104.27,0,104,1708267804.8765895,0.8228571428571428,1.0
1,8,7,104,148,0.794,0.882,0.9277143999999999,29.28317321428572,136.51,148.6,0,168,1708268420.115271,0.9925,0.884524
2,9,5,148,144,0.3975,0.6895,0.7766666666666666,30.227339880952385,15.23,144.87,0,144,1708269035.3836155,0.44166666666666665,1.0
1,5,7,144,86,0.497,0.813,0.737587,31.226739880952383,219.64,86.13,0,152,1708269650.6554208,0.994,0.566645
2,4,9,86,105,0.0,0.0,0.44137499999999996,32.026739880952384,168.39,105.93,0,144,1708270265.880984,0.0,0.735625
1,6,9,105,103,0.521,0.84,0.9461795333333334,33.00690654761905,59.69,103.8,0,104,1708270881.1133008,0.8683333333333334,0.998077
2,7,6,103,104,0.31,0.7905,0.7771428571428571,33.951192261904765,15.45,104.0,0,104,1708271496.3192432,0.4428571428571429,1.0
3,5,7,104,80,0.2033333333333333,0.798,0.7626666666666666,34.89185892857143,20.01,80.6,0,80,1708272111.5182104,0.4066666666666666,1.0
2,6,8,80,104,0.318,0.786,0.812,35.84310892857143,16.56,104.13,0,104,1708272726.7208712,0.53,1.0
1,7,5,104,96,0.485,0.671,0.8771428571428571,36.81239464285714,19.44,96.07,0,96,1708273341.9153533,0.6928571428571428,1.0
2,5,7,96,96,0.298,0.838,0.8384,37.771994642857145,21.32,96.47,0,96,1708273957.1194255,0.596,1.0
1,9,9,96,96,0.474,0.776,0.8106666666666666,38.71088353174604,14.39,96.2,0,96,1708274572.3319552,0.5266666666666666,1.0
1,6,8,96,97,0.549,0.799,0.9660000000000001,39.70225853174603,25.72,97.87,0,96,1708275187.543807,0.9150000000000001,1.0
1,7,8,97,80,0.399,0.745,0.8280000000000001,40.65238353174603,18.7,80.47,0,80,1708275802.7892632,0.5700000000000001,1.0
2,4,6,80,81,0.291,0.8425,0.891,41.62513353174603,64.88,81.87,0,80,1708276418.0504968,0.7274999999999999,1.0
1,7,6,81,106,0.558,0.669,0.9188571428571429,42.60484781746032,32.62,106.0,0,104,1708277033.3103778,0.7971428571428573,1.0
3,6,5,106,120,0.301,0.743,0.8006666666666666,43.555014484126986,26.24,120.2,0,120,1708277648.5411465,0.5016666666666667,1.0
1,5,7,120,82,0.5,0.727,0.7433332,44.555014484126986,218.51,82.4,0,144,1708278263.7579813,1.0,0.572222
3,7,5,82,152,0.3356666666666667,0.762,0.7918095238095239,45.502966865079365,20.06,152.53,0,152,1708278878.9930823,0.47952380952380963,1.0
3,4,6,152,76,0.282,0.7933333333333333,0.5674872,46.47346686507937,260.48,76.13,0,160,1708279494.2456963,0.7049999999999998,0.475812
2,6,6,76,104,0.346,0.7855000000000001,0.8306666666666667,47.43113353174604,19.28,104.87,0,104,1708280138.306299,0.5766666666666667,1.0
2,6,4,104,80,0.2595,0.708,0.773,48.374383531746034,14.73,80.13,0,80,1708280753.553754,0.43250000000000005,1.0
2,8,9,80,112,0.34,0.769,0.77,49.30232797619048,16.59,112.73,0,112,1708281368.7778184,0.425,1.0
3,6,5,112,94,0.254,0.7140000000000001,0.7622707333333333,50.244661309523806,18.66,94.87,0,96,1708281984.031774,0.42333333333333334,0.988229
2,4,7,94,96,0.3365,0.8155,0.9365,51.228786309523805,54.22,96.2,0,96,1708282599.31924,0.84125,1.0
2,8,9,96,95,0.2915,0.8175,0.7453125999999999,52.15605714285714,14.76,95.93,0,96,1708283214.5436978,0.36437499999999995,0.999271
2,9,9,95,97,0.282,0.761,0.7253333333333333,53.07194603174602,14.46,97.13,0,96,1708283829.7633042,0.3133333333333333,1.0
1,6,9,97,80,0.441,0.863,0.8939999999999999,54.04133492063491,26.6,80.27,0,80,1708284444.9938643,0.735,1.0
2,9,6,80,72,0.2375,0.7625,0.7055555555555555,54.9677238095238,14.19,72.6,0,72,1708285060.218272,0.2638888888888889,1.0
1,5,5,72,91,0.501,0.814,0.9269037999999999,55.9677238095238,140.15,91.33,0,104,1708285675.4398136,1.0,0.878173
1,8,7,91,104,0.777,0.756,0.9884999999999999,56.964848809523794,65.36,104.07,0,104,1708286290.668207,0.97125,1.0
3,7,4,104,104,0.2766666666666666,0.7076666666666666,0.758095238095238,57.90437261904761,15.96,104.07,0,104,1708286905.9769492,0.39523809523809517,1.0
3,9,9,104,104,0.2336666666666666,0.7506666666666666,0.7038518518518518,58.813742989417975,15.96,104.87,0,104,1708287521.2494764,0.25962962962962954,1.0
3,9,9,104,96,0.2166666666666666,0.7603333333333332,0.6962962962962962,59.72229854497353,16.43,96.13,0,96,1708288136.506668,0.24074074074074064,1.0
3,7,6,96,80,0.2299999999999999,0.7136666666666667,0.7314285714285713,60.65515568783068,16.68,80.33,0,80,1708288751.7349174,0.32857142857142846,1.0
1,6,8,80,72,0.418,0.751,0.8786666666666667,61.61869735449734,23.23,72.07,0,72,1708289366.965428,0.6966666666666667,1.0
3,6,8,72,24,0.0946666666666666,0.8053333333333333,0.663111111111111,62.53447513227512,17.85,24.0,0,24,1708289982.1706996,0.15777777777777766,1.0
1,9,4,24,24,0.163,0.699,0.6724444444444444,63.45258624338623,15.13,24.0,0,24,1708290597.3569324,0.1811111111111111,1.0
2,4,8,24,31,0.1684999999999999,0.8434999999999999,0.7647499999999998,64.39471124338623,23.94,31.8,0,32,1708291212.5535133,0.42124999999999974,0.99375
3,9,8,31,32,0.1109999999999999,0.7403333333333334,0.6493333333333333,65.29958624338623,16.56,32.0,0,32,1708291827.7743971,0.12333333333333323,1.0
3,8,5,32,40,0.1253333333333333,0.6793333333333335,0.6626666666666666,66.2152529100529,16.08,40.0,0,40,1708292442.9801266,0.15666666666666662,1.0
3,7,9,40,32,0.1373333333333333,0.795,0.6784761904761905,67.12320529100528,16.95,32.0,0,32,1708293058.1976576,0.19619047619047617,1.0
1,4,4,32,32,0.21,0.764,0.8099999999999999,68.07570529100528,24.96,32.2,0,32,1708293673.430802,0.5249999999999999,1.0
1,6,7,32,24,0.165,0.754,0.71,69.00320529100527,16.06,24.4,0,24,1708294288.6397974,0.275,1.0
3,6,5,24,40,0.15,0.7610000000000001,0.7,69.92820529100527,18.8,40.13,0,40,1708294903.847188,0.25,1.0
1,4,4,40,39,0.27,0.722,0.86895,70.89570529100527,43.1,39.93,0,40,1708295519.0812478,0.675,0.99825
2,5,6,39,40,0.1735,0.8069999999999999,0.7388,71.83040529100528,15.42,40.07,0,40,1708296134.2979758,0.347,1.0
1,9,9,40,40,0.23,0.755,0.7022222222222222,72.73984973544972,14.53,40.0,0,40,1708296749.5020726,0.25555555555555554,1.0
1,9,5,40,48,0.305,0.73,0.7355555555555555,73.67373862433861,15.57,48.13,0,48,1708297364.6902788,0.33888888888888885,1.0
2,4,8,48,40,0.195,0.8500000000000001,0.7949999999999999,74.62248862433862,31.36,40.0,0,40,1708297979.883033,0.4875,1.0
2,9,6,40,32,0.1335,0.7025,0.6593333333333333,75.53732195767195,15.26,32.27,0,32,1708298595.1193566,0.14833333333333334,1.0
2,5,6,32,24,0.118,0.76,0.6944,76.46092195767194,17.13,24.0,0,24,1708299210.350605,0.236,1.0
1,6,4,24,56,0.376,0.754,0.8506666666666667,77.4235886243386,23.1,56.2,0,56,1708299825.576038,0.6266666666666667,1.0
1,9,5,56,48,0.302,0.688,0.7342222222222222,78.35714417989416,15.93,48.07,0,48,1708300440.8221266,0.33555555555555555,1.0
1,9,8,48,40,0.247,0.698,0.7097777777777777,79.27183862433861,15.6,40.0,0,40,1708301056.0293765,0.27444444444444444,1.0
2,4,9,40,40,0.1915,0.868,0.7915,80.21615806878306,24.65,40.0,0,40,1708301671.2274604,0.47875,1.0
1,5,8,40,40,0.26,0.851,0.808,81.16815806878306,21.76,40.27,0,40,1708302286.426942,0.52,1.0
1,6,5,40,32,0.22,0.754,0.7466666666666667,82.10482473544972,27.63,32.2,0,32,1708302901.664815,0.3666666666666667,1.0
3,4,6,32,32,0.124,0.8036666666666666,0.724,83.03582473544972,23.34,32.0,0,32,1708303516.8991225,0.31,1.0
3,5,4,32,40,0.1543333333333333,0.7356666666666666,0.7234666666666666,83.9666914021164,19.68,40.0,0,40,1708304181.576992,0.3086666666666666,1.0
1,6,5,40,40,0.273,0.718,0.782,84.91219140211639,19.74,40.0,0,40,1708304796.8260884,0.45500000000000007,1.0
2,9,8,40,40,0.1375,0.759,0.6611111111111111,85.82234417989417,13.93,40.2,0,40,1708305412.020125,0.1527777777777778,1.0
3,4,6,40,40,0.146,0.815,0.746,86.75884417989417,30.14,40.07,0,40,1708306027.234419,0.36499999999999994,1.0
2,5,4,40,40,0.179,0.733,0.7432,87.69464417989417,19.82,40.6,0,40,1708306687.6375327,0.358,1.0
1,9,7,40,32,0.207,0.738,0.692,88.61764417989417,15.32,32.4,0,32,1708307302.841975,0.22999999999999998,1.0
2,7,5,32,32,0.157,0.7575000000000001,0.6897142857142857,89.54007275132274,16.34,32.13,0,32,1708307918.074237,0.2242857142857143,1.0
1,7,9,32,64,0.394,0.855,0.8251428571428572,90.49135846560846,15.74,64.13,0,64,1708308533.2769234,0.562857142857143,1.0
2,5,9,64,48,0.1915,0.8885,0.7532,91.42838068783068,22.35,48.13,0,48,1708309148.4900844,0.383,1.0
1,5,5,48,40,0.312,0.748,0.8496,92.39078068783068,21.01,40.07,0,40,1708309763.7001424,0.624,1.0
3,8,7,40,48,0.151,0.754,0.6755,93.30965568783068,17.33,48.4,0,48,1708310378.9082797,0.18874999999999997,1.0
3,6,7,48,48,0.1516666666666666,0.7026666666666667,0.701111111111111,0.0,21.18,48.13,0,48,1708310994.1748774,0.25277777777777766,1.0
2,8,9,48,56,0.193,0.745,0.6965,0.9069027777777778,15.25,56.2,0,56,1708311609.4467418,0.24125,1.0
1,8,8,56,71,0.4,0.737,0.7983332000000001,1.8490277777777773,15.53,71.8,0,72,1708312224.6849897,0.5,0.997222
1,9,5,71,64,0.354,0.676,0.7573333333333333,2.788361111111111,13.83,64.6,0,64,1708312839.898268,0.3933333333333333,1.0
3,5,6,64,71,0.221,0.786,0.7745500000000001,3.732561111111111,26.05,71.73,0,72,1708313455.1445696,0.442,0.99625
3,4,6,71,75,0.2649999999999999,0.7789999999999999,0.7804545999999999,4.698811111111111,132.89,75.6,0,88,1708314070.392387,0.6624999999999998,0.859091
1,8,6,75,56,0.42,0.64,0.8099999999999999,5.65131111111111,17.04,56.27,0,56,1708314731.0853393,0.5249999999999999,1.0
2,7,5,56,48,0.1895,0.7005,0.7082857142857143,6.578382539682539,16.67,48.27,0,48,1708315346.336283,0.27071428571428574,1.0
