replica,cpu,heap,previous_tps,instant_tps
1,9,2,48.1,49.12
1,9,2,48.1,49.12
2,9,2,49.12,49.2
2,9,2,49.12,49.2
2,9,2,49.12,49.2
2,9,2,49.12,49.2
1,9,2,49.2,50.2
1,9,3,50.2,49.6
1,9,4,49.6,47.75
2,9,4,47.75,50.34
2,9,4,47.75,50.34
2,9,5,50.34,50.0
2,9,6,50.0,50.1
2,9,5,50.1,50.6
3,9,5,50.6,50.06
3,9,5,50.06,51.0
2,9,5,51.0,50.47
2,9,6,50.47,50.16
1,9,6,50.16,48.06
1,9,6,50.16,48.06
1,9,5,48.06,48.9
1,9,5,48.06,48.9
1,9,4,48.9,48.62
1,9,5,48.62,48.38
1,9,5,48.62,48.38
1,9,6,48.38,48.62
1,9,6,48.38,48.62
1,9,7,48.62,47.44
1,9,7,48.62,47.44
1,9,8,47.44,49.1
1,9,7,49.1,48.06
1,9,8,48.06,48.75
1,9,9,48.75,48.78
1,9,9,48.75,48.78
1,9,9,48.75,48.78
1,8,9,48.78,46.3
1,7,9,46.3,45.06
1,7,9,46.3,45.06
1,6,9,45.06,43.22
1,6,9,45.06,43.22
1,6,9,45.06,43.22
1,6,9,45.06,43.22
1,6,9,43.22,40.9
1,6,8,40.9,40.8
1,6,7,40.8,43.53
1,5,7,43.53,34.0
1,5,8,34.0,38.78
1,5,7,38.78,35.2
1,5,7,35.2,39.4
1,5,8,39.4,38.84
1,5,9,38.84,33.94
1,5,8,33.94,38.56
1,5,7,38.56,33.34
1,5,6,33.34,36.4
1,5,7,36.4,37.1
1,5,7,37.1,36.6
1,5,6,36.6,32.88
2,5,6,32.88,31.8
2,6,6,31.8,45.12
2,6,5,45.12,43.16
3,6,5,43.16,45.9
3,6,6,45.9,45.75
2,6,6,45.75,44.06
2,6,5,44.06,43.7
2,6,4,43.7,42.84
2,6,5,42.84,44.78
3,6,5,44.78,44.47
2,6,5,44.47,47.94
2,6,6,47.94,44.16
2,6,5,44.16,45.2
2,6,4,45.2,44.44
2,7,4,44.44,47.94
2,7,5,47.94,46.62
2,6,5,46.62,45.7
2,6,6,45.7,44.9
2,6,5,44.9,45.03
3,6,5,45.03,45.06
3,6,6,45.06,46.84
3,6,6,46.84,46.25
3,6,7,46.25,47.1
3,6,8,47.1,46.2
3,6,7,46.2,44.78
3,6,8,44.78,44.12
3,6,7,44.12,44.28
3,6,8,44.28,44.34
2,6,8,44.34,45.34
2,5,8,45.34,40.9
3,5,8,40.9,35.5
3,5,9,35.5,41.4
3,5,9,35.5,41.4
2,5,9,41.4,44.47
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,5,9,28.12,42.94
2,5,9,28.12,42.94
2,4,9,42.94,34.84
2,4,9,42.94,34.84
2,4,9,34.84,34.62
2,4,9,34.84,34.62
2,4,8,34.62,35.03
2,4,9,35.03,33.66
3,4,9,33.66,26.48
3,4,8,26.48,37.94
3,4,9,37.94,39.03
3,4,9,37.94,39.03
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,9,39.03,31.53
3,3,8,31.53,18.47
3,3,7,18.47,31.38
3,3,6,31.38,28.06
3,4,6,28.06,38.25
3,4,5,38.25,36.66
4,4,5,36.66,40.22
4,4,6,40.22,38.16
4,4,5,38.16,39.53
4,4,6,39.53,40.94
4,4,7,40.94,39.03
4,4,8,39.03,40.84
4,4,7,40.84,41.5
4,4,6,41.5,40.38
4,5,6,40.38,43.06
4,5,5,43.06,44.62
5,5,5,44.62,46.44
5,4,5,46.44,36.12
5,4,6,36.12,37.47
5,4,7,37.47,39.72
5,5,7,39.72,46.53
5,6,7,46.53,47.34
5,6,8,47.34,48.75
5,6,9,48.75,48.66
5,6,8,48.66,50.44
5,6,7,50.44,48.56
5,6,8,48.56,48.6
5,6,9,48.6,48.06
4,6,9,48.06,47.88
4,6,9,48.06,47.88
4,6,9,48.06,47.88
5,6,9,47.88,49.78
5,7,9,49.78,50.5
5,8,9,50.5,50.56
5,7,9,50.56,50.16
5,7,9,50.56,50.16
5,7,9,50.56,50.16
5,8,9,50.16,50.94
6,8,9,50.94,51.1
6,9,9,51.1,50.84
7,9,9,50.84,51.06
7,9,9,50.84,51.06
7,9,8,51.06,49.94
8,9,8,49.94,52.16
9,9,8,52.16,50.88
9,9,8,52.16,50.88
9,9,8,52.16,50.88
9,9,9,50.88,50.62
9,9,9,50.62,50.4
9,9,9,50.62,50.4
9,9,9,50.62,50.4
9,9,9,50.4,50.12
9,9,9,50.4,50.12
9,9,9,50.4,50.12
9,8,9,50.12,50.3
9,8,9,50.12,50.3
8,8,9,50.3,49.53
7,8,9,49.53,53.53
7,8,8,53.53,51.16
8,8,8,51.16,51.66
8,8,7,51.66,50.12
8,8,7,50.12,50.62
8,8,7,50.62,49.72
9,8,7,49.72,52.53
9,8,8,52.53,49.56
9,8,8,52.53,49.56
9,8,8,52.53,49.56
8,8,8,49.56,49.28
8,8,8,49.28,50.12
8,8,7,50.12,50.44
9,8,7,50.44,50.75
9,8,7,50.44,50.75
9,8,7,50.75,50.47
9,8,7,50.75,50.47
9,8,7,50.75,50.47
9,8,7,50.75,50.47
9,8,8,50.47,49.12
9,8,9,49.12,50.16
9,9,9,50.16,50.7
9,9,9,50.16,50.7
9,9,9,50.16,50.7
9,9,9,50.16,50.7
9,9,9,50.16,50.7
9,9,9,50.16,50.7
9,9,9,50.16,50.7
9,9,9,50.7,50.84
8,9,9,50.84,50.66
9,9,9,50.66,53.75
9,9,9,50.66,53.75
8,9,9,53.75,50.47
9,9,9,50.47,51.78
9,9,9,51.78,50.7
9,9,9,51.78,50.7
9,9,9,51.78,50.7
8,9,9,50.7,51.06
8,8,9,51.06,49.0
9,8,9,49.0,50.88
9,8,9,49.0,50.88
9,9,9,50.88,51.97
9,9,9,50.88,51.97
9,9,9,50.88,51.97
9,9,9,50.88,51.97
9,9,9,50.88,51.97
9,9,8,51.97,51.78
8,9,8,51.78,50.28
8,9,7,50.28,51.1
8,9,8,51.1,50.34
8,9,7,50.34,50.4
8,9,7,50.34,50.4
7,9,7,50.4,50.47
7,8,7,50.47,50.4
7,7,7,50.4,50.97
6,7,7,50.97,49.0
6,6,7,49.0,47.03
5,6,7,47.03,48.4
5,6,7,48.4,48.53
5,6,8,48.53,49.38
5,7,8,49.38,50.75
5,7,9,50.75,49.94
5,8,9,49.94,50.8
4,8,9,50.8,49.94
4,8,9,49.94,50.3
5,8,9,50.3,50.66
4,8,9,50.66,47.72
4,9,9,47.72,51.72
4,9,9,47.72,51.72
3,9,9,51.72,47.53
3,9,9,47.53,49.72
3,9,9,49.72,50.4
4,9,9,50.4,51.2
4,9,9,50.4,51.2
4,9,9,50.4,51.2
4,9,9,50.4,51.2
4,9,9,50.4,51.2
5,9,9,51.2,52.12
4,9,9,52.12,50.06
4,9,9,50.06,50.28
4,9,8,50.28,50.34
5,9,8,50.34,52.9
5,9,9,52.9,50.78
6,9,9,50.78,50.94
6,9,9,50.94,50.88
5,9,9,50.88,50.7
4,9,9,50.7,50.66
4,9,9,50.7,50.66
4,8,9,50.66,49.0
4,9,9,49.0,49.75
5,9,9,49.75,51.5
6,9,9,51.5,51.94
6,9,9,51.94,50.3
6,8,9,50.3,49.62
6,8,9,50.3,49.62
5,8,9,49.62,49.6
5,9,9,49.6,51.34
5,9,8,51.34,50.62
6,9,8,50.62,51.9
5,9,8,51.9,50.28
5,8,8,50.28,50.7
4,8,8,50.7,49.53
4,9,8,49.53,51.22
3,9,8,51.22,49.28
3,9,9,49.28,50.56
2,9,9,50.56,48.0
2,9,9,48.0,49.88
2,8,9,49.88,49.66
1,8,9,49.66,48.2
1,7,9,48.2,44.88
1,7,9,48.2,44.88
1,7,9,48.2,44.88
1,7,9,44.88,43.72
1,7,9,44.88,43.72
1,6,9,43.72,42.94
1,6,9,43.72,42.94
1,6,8,42.94,40.7
1,6,8,42.94,40.7
1,6,8,42.94,40.7
1,5,8,40.7,39.25
1,5,7,39.25,36.34
1,5,8,36.34,34.88
1,5,7,34.88,32.9
1,5,6,32.9,38.44
2,5,6,38.44,36.8
2,5,7,36.8,41.88
2,5,6,41.88,43.06
2,5,7,43.06,41.12
2,5,6,41.12,40.84
1,5,6,40.84,44.2
1,6,6,44.2,42.84
1,6,6,44.2,42.84
2,6,6,42.84,41.97
2,6,7,41.97,46.6
2,6,6,46.6,43.9
2,6,5,43.9,45.3
2,6,6,45.3,44.78
3,6,6,44.78,44.75
2,6,6,44.75,48.06
1,6,6,48.06,49.94
2,6,6,49.94,45.84
2,6,5,45.84,44.12
1,6,5,44.12,47.12
1,6,6,47.12,43.16
1,6,6,43.16,44.1
1,6,6,44.1,45.88
1,6,7,45.88,41.34
2,6,7,41.34,44.53
1,6,7,44.53,47.72
1,6,8,47.72,43.62
1,6,7,43.62,42.56
2,6,7,42.56,41.75
2,6,8,41.75,44.25
2,5,8,44.25,42.94
3,5,8,42.94,37.97
2,5,8,37.97,46.06
2,4,8,46.06,36.78
1,4,8,36.78,42.7
1,4,8,36.78,42.7
1,4,9,42.7,30.23
1,4,9,42.7,30.23
1,4,9,30.23,33.53
1,5,9,33.53,34.4
2,5,9,34.4,37.75
2,6,9,37.75,45.62
1,6,9,45.62,45.53
1,6,9,45.62,45.53
1,6,9,45.53,49.4
1,6,8,49.4,42.3
1,6,9,42.3,41.34
1,6,8,41.34,41.78
2,6,8,41.78,42.1
1,6,8,42.1,49.0
1,6,8,49.0,50.34
2,6,8,50.34,41.56
2,6,8,41.56,47.47
1,6,8,47.47,50.66
2,6,8,50.66,34.66
3,6,8,34.66,44.7
2,6,8,44.7,49.47
1,6,8,49.47,50.06
1,6,9,50.06,40.88
2,6,9,40.88,40.56
2,7,9,40.56,45.88
1,7,9,45.88,48.47
1,7,8,48.47,43.3
1,7,9,43.3,42.75
2,7,9,42.75,46.25
1,7,9,46.25,49.72
1,7,9,46.25,49.72
1,7,9,46.25,49.72
2,7,9,49.72,45.44
3,7,9,45.44,47.44
3,7,9,47.44,47.97
3,7,8,47.97,47.88
4,7,8,47.88,48.78
4,6,8,48.78,47.12
4,6,7,47.12,46.78
3,6,7,46.78,45.28
2,6,7,45.28,47.34
2,6,7,47.34,44.8
2,6,6,44.8,45.12
2,6,6,45.12,46.16
3,6,6,46.16,45.66
4,6,6,45.66,46.75
3,6,6,46.75,49.53
3,7,6,49.53,48.16
2,7,6,48.16,47.47
2,7,7,47.47,47.75
3,7,7,47.75,47.88
4,7,7,47.88,49.16
3,7,7,49.16,49.06
3,7,8,49.06,48.47
3,6,8,48.47,46.62
3,6,7,46.62,45.16
2,6,7,45.16,45.53
3,6,7,45.53,45.22
4,6,7,45.22,45.78
3,6,7,45.78,49.28
4,6,7,49.28,48.22
3,6,7,48.22,49.88
2,6,7,49.88,49.0
2,6,6,49.0,45.34
1,6,6,45.34,44.8
1,6,6,44.8,48.12
1,6,6,44.8,48.12
2,6,6,48.12,41.8
3,6,6,41.8,44.25
4,6,6,44.25,46.28
4,6,6,46.28,48.78
5,6,6,48.78,49.62
4,6,6,49.62,48.53
5,6,6,48.53,50.28
6,6,6,50.28,49.56
6,5,6,49.56,43.28
5,5,6,43.28,47.12
6,5,6,47.12,44.5
