replica,cpu,heap,previous_tps,instant_tps
9,1,7,0.0,2.4
9,1,7,2.4,2.57
9,1,8,2.57,2.07
9,1,9,2.07,2.65
9,1,8,2.65,1.73
9,1,9,1.73,1.07
9,1,9,1.73,1.07
9,1,9,1.73,1.07
9,1,8,1.07,1.53
9,1,9,1.53,2.6
9,1,8,2.6,2.93
9,1,7,2.93,2.48
9,1,6,2.48,2.71
9,1,7,2.71,1.07
9,1,8,1.07,3.0
9,1,9,3.0,1.67
9,1,8,1.67,1.47
9,1,9,1.47,2.1
9,2,9,2.1,6.27
8,2,9,6.27,22.0
8,2,9,22.0,24.92
8,2,9,24.92,29.8
8,3,9,29.8,31.55
8,3,9,31.55,37.53
8,3,9,37.53,37.53
8,3,9,37.53,38.38
8,3,9,38.38,39.2
8,3,9,39.2,42.34
8,3,9,42.34,38.47
8,3,8,38.47,24.4
8,3,9,24.4,26.33
8,3,9,26.33,29.88
8,3,9,29.88,35.0
8,3,9,35.0,36.8
8,3,9,36.8,36.34
8,3,9,36.34,36.4
8,3,9,36.4,35.72
8,3,9,35.72,40.12
8,3,9,40.12,40.38
8,3,9,40.38,42.6
8,3,9,42.6,37.88
8,3,8,37.88,20.6
9,3,8,20.6,32.56
9,3,8,32.56,37.4
9,3,8,37.4,41.4
9,3,8,41.4,41.78
9,3,8,41.78,38.6
9,3,8,41.78,38.6
9,3,8,38.6,40.94
9,3,8,40.94,42.66
9,3,8,42.66,42.34
9,3,8,42.34,37.8
9,3,8,42.34,37.8
9,3,8,37.8,43.53
9,3,8,43.53,42.53
9,3,8,42.53,43.2
9,3,8,43.2,41.28
9,3,8,41.28,43.25
9,3,8,43.25,43.53
9,3,8,43.53,43.4
9,3,8,43.4,41.8
9,3,8,41.8,43.06
9,3,8,43.06,42.28
9,3,8,42.28,39.9
9,3,8,39.9,37.6
9,3,8,37.6,43.72
9,3,8,43.72,40.6
9,3,8,40.6,45.12
9,3,8,45.12,44.4
9,3,8,44.4,44.34
9,3,8,44.34,43.8
9,3,8,43.8,46.72
9,3,8,46.72,43.2
9,3,8,43.2,46.34
9,3,8,46.34,43.78
9,3,8,43.78,39.47
9,3,8,39.47,44.66
9,3,8,44.66,45.0
9,3,8,45.0,39.2
9,3,7,39.2,24.45
9,3,7,39.2,24.45
9,3,7,39.2,24.45
9,3,7,39.2,24.45
9,3,7,39.2,24.45
9,3,7,39.2,24.45
9,3,8,24.45,27.47
9,3,8,27.47,27.94
9,3,8,27.94,38.34
9,3,8,38.34,35.4
9,3,8,35.4,37.53
9,3,8,37.53,37.4
9,3,8,37.4,37.88
9,3,8,37.88,40.12
9,3,8,40.12,38.28
9,3,8,38.28,41.34
9,3,8,41.34,42.47
9,3,8,42.47,45.12
9,3,8,45.12,39.84
9,3,8,39.84,44.53
9,3,8,44.53,41.06
9,3,8,41.06,41.1
9,3,8,41.1,41.2
9,3,8,41.2,41.72
9,3,8,41.72,40.16
9,3,8,40.16,42.6
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,8,42.6,39.4
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,9,39.4,29.44
9,3,8,29.44,28.94
9,3,8,28.94,33.53
9,3,8,33.53,39.47
9,3,8,39.47,36.0
9,3,8,39.47,36.0
9,3,8,39.47,36.0
