replica,cpu,heap,previous_tps,instant_tps
1,1,2,0.0,1.0
1,1,3,1.0,7.59
1,1,3,7.59,2.27
1,1,2,2.27,1.73
1,1,1,1.73,5.33
1,1,2,5.33,1.73
1,1,1,1.73,1.2
1,1,1,1.73,1.2
1,1,1,1.73,1.2
1,1,1,1.73,1.2
1,1,1,1.73,1.2
1,1,1,1.73,1.2
1,1,1,1.73,1.2
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
2,1,1,1.2,0.71
3,1,1,0.71,1.0
3,1,2,1.0,1.6
3,1,3,1.6,3.47
2,1,3,3.47,6.87
1,1,3,6.87,3.87
1,1,2,3.87,8.67
1,1,2,8.67,2.27
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
1,1,1,2.27,1.09
2,1,1,1.09,1.4
1,1,1,1.4,2.2
1,1,1,1.4,2.2
1,1,2,2.2,1.13
1,1,1,1.13,1.8
1,1,1,1.13,1.8
1,1,1,1.13,1.8
1,1,2,1.8,22.88
1,1,2,22.88,7.8
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
1,1,1,7.8,0.6
2,1,1,0.6,1.07
2,1,1,0.6,1.07
2,1,2,1.07,2.36
2,1,3,2.36,1.13
2,1,2,1.13,2.33
2,1,3,2.33,1.2
2,1,3,2.33,1.2
2,1,3,2.33,1.2
3,1,3,1.2,1.6
3,1,4,1.6,1.95
3,1,5,1.95,12.89
3,1,5,12.89,2.0
4,1,5,2.0,6.71
4,1,5,6.71,2.47
5,1,5,2.47,3.27
5,1,4,3.27,1.6
6,1,4,1.6,5.12
6,1,5,5.12,3.32
6,1,5,5.12,3.32
7,1,5,3.32,4.72
7,1,4,4.72,4.3
6,1,4,4.3,10.72
5,1,4,10.72,8.33
6,1,4,8.33,7.48
7,1,4,7.48,3.4
8,1,4,3.4,4.13
9,1,4,4.13,9.2
9,1,5,9.2,2.69
9,1,5,9.2,2.69
9,1,4,2.69,2.04
9,1,3,2.04,2.07
9,1,3,2.04,2.07
9,1,2,2.07,2.0
9,1,2,2.07,2.0
9,1,1,2.0,1.27
9,1,1,2.0,1.27
9,1,2,1.27,1.47
9,1,1,1.47,0.73
9,1,2,0.73,1.51
9,1,3,1.51,2.0
9,1,4,2.0,1.33
9,1,3,1.33,2.07
9,1,2,2.07,1.4
9,1,1,1.4,0.73
9,1,2,0.73,1.26
9,1,1,1.26,1.0
9,1,2,1.0,2.24
9,1,3,2.24,2.32
9,1,2,2.32,1.3
9,1,3,1.3,1.76
9,1,2,1.76,0.95
9,1,1,0.95,0.93
9,1,2,0.93,1.27
9,1,3,1.27,1.6
9,1,4,1.6,1.73
9,1,3,1.73,1.86
9,1,2,1.86,1.4
9,1,1,1.4,1.07
9,1,2,1.07,1.7
9,1,3,1.7,1.33
9,1,2,1.33,2.0
9,1,3,2.0,1.53
9,1,2,1.53,1.57
9,1,1,1.57,1.33
9,1,2,1.33,2.06
9,1,1,2.06,1.07
