replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp
3,6,7,0,0,0.113,0.6293333333333334,0.32207169523809526,0.32207169523809526,3715.87,0.8,0,24,1707920356.1349928
3,6,9,0,20,0.309,0.738,0.9335,1.2555716952380953,150.1,20.0,0,24,1707920374.224297
