replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps
6,6,7,0.0,34.8,6,8,0.022,0.861,0.7873335333333333,0.7873335333333333,20.23,34.8,0,36
2,7,5,34.8,34.75,225,242,0.613,0.672,0.9543096571428572,1.7416431904761907,89.41,34.75,0,36
4,9,5,34.75,18.27,93,99,0.413,0.617,0.8917777777777778,2.6334209682539687,23.37,18.27,0,18
5,9,4,18.27,18.28,65,72,0.367,0.616,0.8815555555555555,3.514976523809524,23.75,18.28,0,18
6,7,8,18.28,36.38,35,40,0.441,0.646,0.8875,4.402476523809524,47.47,36.36,0,36
1,8,9,36.38,24.88,169,206,0.789,0.742,0.9148054888888889,5.317282012698413,103.9,24.87,0,27
5,9,5,24.88,27.66,95,101,0.41,0.633,0.8911111111111111,6.208393123809524,22.05,27.66,0,27
6,8,4,27.66,27.66,59,63,0.409,0.603,0.90225,7.110643123809524,28.95,27.66,0,27
3,9,5,27.66,27.52,97,100,0.558,0.616,0.924,8.034643123809524,22.89,27.52,0,27
3,9,6,27.52,27.0,89,92,0.558,0.625,0.924,8.958643123809523,30.0,27.0,0,27
6,9,6,27.0,14.58,62,65,0.349,0.63,0.7635555555555555,9.722198679365079,64.33,14.58,0,18
6,7,5,14.58,24.9,29,33,0.38,0.565,0.8619046285714286,10.584103307936507,65.94,24.9,0,27
4,8,8,24.9,27.44,110,116,0.47,0.695,0.8912499999999999,11.475353307936507,28.36,27.44,0,27
6,7,7,27.44,46.12,49,56,0.458,0.657,0.9185714285714286,12.393924736507936,44.71,46.13,0,45
1,6,8,46.12,16.4,39,49,0.598,0.659,0.6374169333333333,13.031341669841268,249.0,16.4,0,36
3,6,5,16.4,32.75,123,133,0.479,0.646,0.9053330666666667,13.936674736507936,102.06,32.74,0,36
6,6,4,32.75,22.05,18,21,0.448,0.598,0.8391109333333333,14.77578566984127,132.65,22.04,0,27
3,6,4,22.05,27.6,106,109,0.341,0.706,0.9136666666666666,15.689452336507935,29.79,27.6,0,27
6,4,5,27.6,4.58,14,17,0.296,0.613,0.42433319999999997,16.113785536507937,1053.91,4.58,0,36
3,8,5,4.58,36.53,291,293,0.436,0.706,0.909,17.022785536507936,33.62,36.52,0,36
3,8,7,36.53,27.27,91,99,0.551,0.616,0.9137500000000001,17.936535536507936,29.88,27.26,0,27
4,9,5,27.27,36.53,158,165,0.508,0.662,0.9128888888888889,18.849424425396826,28.3,36.54,0,36
2,9,6,36.53,27.27,255,267,0.604,0.657,0.9342222222222223,19.783646647619047,24.82,27.26,0,27
4,9,5,27.27,16.4,100,105,0.384,0.626,0.8319999333333334,20.61564658095238,43.47,16.4,0,18
6,9,5,16.4,15.06,60,64,0.281,0.631,0.7644446444444444,21.380091225396825,57.47,15.06,0,18
2,8,6,15.06,35.9,268,285,0.688,0.669,0.9706668,22.350758025396825,68.85,35.92,0,36
2,9,5,35.9,27.38,248,262,0.567,0.618,0.9259999999999999,23.276758025396823,23.02,27.38,0,27
3,9,6,27.38,27.38,114,122,0.593,0.619,0.9317777777777778,24.208535803174602,24.33,27.37,0,27
6,9,4,27.38,27.4,74,80,0.421,0.622,0.8935555555555554,25.102091358730156,25.52,27.4,0,27
3,7,4,27.4,35.84,191,200,0.458,0.657,0.9283569428571428,26.0304483015873,47.27,35.85,0,36
6,8,9,35.84,27.75,57,63,0.451,0.696,0.8674166666666666,26.897864968253966,29.09,27.75,0,27
3,8,4,27.75,18.34,141,152,0.335,0.643,0.88375,27.781614968253965,24.88,18.34,0,18
6,8,7,18.34,35.2,75,80,0.431,0.655,0.8815596571428572,28.663174625396824,39.11,35.2,0,36
6,7,5,35.2,37.0,42,47,0.452,0.609,0.9291428571428572,29.59231748253968,37.13,37.0,0,36
3,9,9,37.0,27.7,233,238,0.393,0.728,0.8491111111111111,30.44142859365079,22.77,27.7,0,27
3,9,7,27.7,27.22,112,117,0.569,0.665,0.9164444444444444,31.357873038095235,24.03,27.22,0,27
6,7,4,27.22,26.31,18,22,0.442,0.583,0.9111747142857143,32.26904775238095,53.78,26.32,0,27
2,8,4,26.31,18.4,137,147,0.531,0.62,0.93275,33.20179775238095,30.76,18.41,0,18
5,9,4,18.4,27.62,85,93,0.478,0.628,0.9062222222222223,34.10801997460317,31.03,27.63,0,27
5,5,9,27.62,19.23,39,44,0.43,0.751,0.6595552888888889,34.767575263492056,285.33,19.24,0,36
3,7,4,19.23,28.1,220,233,0.504,0.672,0.9440000000000001,35.71157526349206,30.95,28.09,0,27
4,7,7,28.1,25.1,21,24,0.559,0.617,0.8937780000000001,36.605353263492056,84.52,25.1,0,27
